_id,id,ags2,bundesland,ags5,kreis,kr_fris,kr_rest,kr_shops,kr_gewerbe,kr_mall,kr_vereine,kr_sb,kr_poi_1,kr_poi_2,kr_poi_3,kr_poi_4,kr_poi_5,kr_poi_6,kr_poi_7,kr_poi_8,kr_poi_9
51,51,03,Niedersachsen,03452,Aurich,179,349,581,11712,4,426,3,235,1498,229,577,301,101,143,605,1589
52,52,03,Niedersachsen,03453,Cloppenburg,133,204,491,10806,0,249,15,194,1302,175,66,165,57,149,377,1581
53,53,03,Niedersachsen,03454,Emsland,290,463,1076,21058,4,511,16,395,2307,385,188,444,152,323,888,2896
54,54,03,Niedersachsen,03455,Friesland,113,180,300,6318,0,200,6,116,857,144,189,191,44,99,395,856
55,55,03,Niedersachsen,03456,Grafschaft Bentheim,125,206,408,8525,1,216,5,169,1065,111,67,177,57,145,427,1161
56,56,03,Niedersachsen,03457,Leer,145,228,515,10597,2,299,13,198,1207,130,221,222,104,143,526,1380
57,57,03,Niedersachsen,03458,Oldenburg,119,142,282,8657,0,272,5,135,966,170,45,162,42,139,429,1367
58,58,03,Niedersachsen,03459,Osnabrück,324,454,978,21438,0,641,15,379,2652,273,161,441,182,325,1147,3296
59,59,03,Niedersachsen,03460,Vechta,129,238,408,10034,0,228,10,152,1077,103,48,194,40,163,362,1319
60,60,03,Niedersachsen,03461,Wesermarsch,95,122,258,4991,0,190,3,123,608,123,55,103,51,86,290,766
61,61,03,Niedersachsen,03462,Wittmund,60,140,186,3800,0,126,1,67,525,99,405,143,34,63,197,550
62,62,04,Bremen,04011,Bremen,534,773,1441,36043,18,1349,1,521,3940,325,107,709,219,362,2317,5031
63,63,04,Bremen,04012,Bremerhaven,110,168,319,5984,2,206,1,59,853,73,38,192,33,113,415,861
64,64,05,Nordrhein-Westfalen,05111,Düsseldorf,689,1132,1563,53857,17,1629,0,578,5465,350,259,1071,243,526,2842,7358
65,65,05,Nordrhein-Westfalen,05112,Duisburg,335,537,1006,19723,7,776,2,339,2699,233,54,478,178,335,1254,3174
66,66,05,Nordrhein-Westfalen,05113,Essen,499,750,1411,31951,7,1355,1,510,3744,324,110,671,195,399,1889,4688
67,67,05,Nordrhein-Westfalen,05114,Krefeld,212,284,569,13374,2,479,0,185,1901,163,21,331,86,193,937,2180
68,68,05,Nordrhein-Westfalen,05116,Mönchengladbach,248,369,706,15156,6,473,0,275,2165,150,33,364,65,227,1014,2575
69,69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,161,205,438,9576,2,302,0,136,1167,93,35,203,47,147,590,1447
70,70,05,Nordrhein-Westfalen,05119,Oberhausen,169,250,573,9460,6,296,0,141,1304,147,27,199,62,159,553,1547
71,71,05,Nordrhein-Westfalen,05120,Remscheid,117,131,285,6883,2,298,0,114,852,72,23,150,30,95,415,1195
72,72,05,Nordrhein-Westfalen,05122,Solingen,169,169,378,10121,2,366,1,133,1367,92,19,177,48,160,588,1621
73,73,05,Nordrhein-Westfalen,05124,Wuppertal,309,348,789,19844,2,921,4,234,2538,214,40,432,105,321,1273,3396
74,74,05,Nordrhein-Westfalen,05154,Kleve,300,458,840,20270,2,653,10,280,2738,273,126,470,162,326,966,2918
75,75,05,Nordrhein-Westfalen,05158,Mettmann,438,542,1231,31618,6,928,4,478,3861,321,124,599,148,458,1700,5046
76,76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,427,520,1078,26885,12,942,15,396,3424,314,92,524,160,354,1425,4425
77,77,05,Nordrhein-Westfalen,05166,Viersen,284,416,773,19517,1,563,16,242,2777,253,75,429,91,283,1033,3446
78,78,05,Nordrhein-Westfalen,05170,Wesel,446,554,1209,24823,2,863,8,435,3643,412,111,544,171,387,1355,4033
79,79,05,Nordrhein-Westfalen,05314,Bonn,319,480,835,21702,2,1456,0,348,2449,240,114,458,172,208,1855,3391
80,80,05,Nordrhein-Westfalen,05315,Köln,997,1869,2453,72430,24,2899,0,1013,8095,527,305,1751,348,717,4382,10597
81,81,05,Nordrhein-Westfalen,05316,Leverkusen,161,188,399,7378,2,283,0,142,1116,73,23,205,55,103,576,1285
82,82,05,Nordrhein-Westfalen,05334,Aachen,558,786,1482,34237,7,1138,7,540,4350,399,157,693,180,463,2027,5354
83,83,05,Nordrhein-Westfalen,05358,Düren,305,329,641,14698,3,578,8,267,1804,206,72,303,144,249,735,2388
84,84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,433,559,1079,25286,2,784,18,436,3208,289,101,508,179,389,1359,4513
85,85,05,Nordrhein-Westfalen,05366,Euskirchen,219,240,524,11692,3,436,14,207,1450,176,104,261,113,191,633,2171
86,86,05,Nordrhein-Westfalen,05370,Heinsberg,311,366,712,14891,3,418,8,206,2075,239,40,318,110,249,785,2494
87,87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,259,280,702,16678,2,580,33,312,2105,240,120,330,139,250,989,2864
88,88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,285,329,647,17900,1,543,14,266,2337,162,91,385,106,252,1182,3241
89,89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,559,668,1412,34382,3,1238,19,591,4474,375,165,690,208,498,2071,6130
90,90,05,Nordrhein-Westfalen,05512,Bottrop,108,148,253,5258,1,195,1,99,753,87,17,126,46,90,348,898
91,91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,205,263,551,10466,1,457,1,238,1562,155,23,271,101,180,707,1705
92,92,05,Nordrhein-Westfalen,05515,Münster,247,432,738,19490,5,603,1,330,2006,203,78,410,114,180,1368,2602
93,93,05,Nordrhein-Westfalen,05554,Borken,328,552,1099,23633,4,636,23,353,2913,380,141,554,130,420,1001,3391
94,94,05,Nordrhein-Westfalen,05558,Coesfeld,200,249,610,13530,1,445,13,251,1646,177,86,299,80,293,710,2012
95,95,05,Nordrhein-Westfalen,05562,Recklinghausen,461,743,1577,28679,8,1201,13,578,4091,429,94,658,203,494,1775,4536
96,96,05,Nordrhein-Westfalen,05566,Steinfurt,399,651,1230,26345,3,783,12,476,3154,461,167,611,177,382,1314,3662
97,97,05,Nordrhein-Westfalen,05570,Warendorf,237,344,769,16128,1,506,14,299,2080,228,96,302,89,244,850,2270
98,98,05,Nordrhein-Westfalen,05711,Bielefeld,318,409,848,20321,2,740,5,348,2158,207,50,418,103,272,1201,3120
99,99,05,Nordrhein-Westfalen,05754,Gütersloh,330,417,871,22631,0,574,30,362,2810,258,100,526,112,383,964,3383
100,100,05,Nordrhein-Westfalen,05758,Herford,266,265,698,16552,0,961,2,253,2053,184,60,297,87,225,755,2591
101,101,05,Nordrhein-Westfalen,05762,Höxter,138,194,447,8926,0,300,28,196,1158,237,133,246,97,129,476,1409
102,102,05,Nordrhein-Westfalen,05766,Lippe,380,432,830,20816,0,530,19,362,2697,313,247,522,113,343,1169,3471
103,103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,355,366,992,19813,8,479,8,333,2384,326,126,442,101,305,1012,3049
104,104,05,Nordrhein-Westfalen,05774,Paderborn,308,407,793,18688,4,725,18,323,2090,342,114,431,130,273,874,2849
105,105,05,Nordrhein-Westfalen,05911,Bochum,318,483,854,18296,7,680,2,329,2313,270,48,439,120,286,1218,2779
106,106,05,Nordrhein-Westfalen,05913,Dortmund,419,714,1420,28456,8,1218,3,405,3593,386,79,604,183,426,1726,4542
107,107,05,Nordrhein-Westfalen,05914,Hagen,183,209,510,9296,2,269,1,195,1211,73,23,195,57,155,615,1551
108,108,05,Nordrhein-Westfalen,05915,Hamm,149,212,435,8405,2,772,2,150,1027,71,26,194,65,130,525,1201
109,109,05,Nordrhein-Westfalen,05916,Herne,119,166,320,5950,1,251,0,130,887,104,10,141,49,100,420,972
110,110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,332,397,788,18457,4,712,2,301,2404,158,72,427,106,282,1169,2879
111,111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,300,403,878,17641,2,672,18,298,2308,98,470,531,216,285,933,2612
112,112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,407,506,1108,23637,2,777,8,392,3042,195,117,527,182,381,1308,3811
113,113,05,Nordrhein-Westfalen,05966,Olpe,133,186,385,8703,0,340,8,148,1067,159,131,203,82,147,411,1305
114,114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,306,356,830,17051,2,654,21,364,2256,215,129,361,117,286,931,2632
115,115,05,Nordrhein-Westfalen,05974,Soest,291,418,848,17797,8,664,20,333,2337,113,148,466,127,276,1007,2617
116,116,05,Nordrhein-Westfalen,05978,Unna,358,438,1045,19696,1,773,9,389,2745,143,69,430,115,316,1267,3145
117,117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,142,305,405,11270,4,578,0,196,1272,101,44,283,65,139,805,1809
118,118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,681,1424,1654,59405,9,2791,4,1111,5174,325,310,1286,289,484,3040,7267
119,119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,119,180,318,7522,2,315,0,117,882,41,31,137,41,97,431,1132
120,120,06,Hessen,06414,Landeshauptstadt Wiesbaden,315,489,738,20241,4,853,1,311,2218,116,69,498,79,230,1260,3231
121,121,06,Hessen,06431,Bergstraße,368,457,745,18235,4,536,17,272,2765,84,139,503,99,347,1020,3489
122,122,06,Hessen,06432,Darmstadt-Dieburg,379,390,736,18070,1,572,6,283,2767,64,58,390,76,356,1049,3670
123,123,06,Hessen,06433,Groß-Gerau,285,406,571,14094,3,435,9,246,2092,77,85,315,71,241,769,2787
124,124,06,Hessen,06434,Hochtaunus,307,334,579,19866,6,621,6,259,2080,92,141,329,67,224,1214,2947
125,125,06,Hessen,06435,Main-Kinzig,536,640,1104,27000,7,1089,29,421,3777,187,183,672,158,471,1326,4412
126,126,06,Hessen,06436,Main-Taunus,283,320,557,17721,3,568,6,217,1859,65,92,304,56,190,863,2643
127,127,06,Hessen,06437,Odenwaldkreis,91,151,280,6059,0,206,19,110,1062,34,89,186,28,114,325,1159
128,128,06,Hessen,06438,Offenbach,426,486,835,24432,5,688,7,357,3093,104,93,446,98,316,1147,3847
129,129,06,Hessen,06439,Rheingau-Taunus,243,326,406,12582,0,502,3,172,1523,41,138,472,65,170,688,2121
130,130,06,Hessen,06440,Wetterau,400,438,786,20542,1,786,35,320,2867,111,112,478,110,361,1122,3346
131,131,06,Hessen,06531,Gießen,313,397,729,17247,2,769,21,307,2226,308,75,413,167,319,1156,2696
132,132,06,Hessen,06532,Lahn-Dill,342,359,691,16991,3,779,29,274,2254,324,88,398,112,297,913,2663
133,133,06,Hessen,06533,Limburg-Weilburg,261,312,528,11879,1,402,22,152,1494,103,60,306,72,219,640,1953
134,134,06,Hessen,06534,Marburg-Biedenkopf,291,349,636,14991,1,923,38,280,1872,338,105,390,133,230,1020,2187
135,135,06,Hessen,06535,Vogelsberg,118,165,351,7404,0,369,18,122,990,248,92,201,52,143,403,1161
136,136,06,Hessen,06611,Kreisfreie Stadt Kassel,234,291,624,12777,7,622,1,220,1466,113,62,290,90,210,932,1799
137,137,06,Hessen,06631,Fulda,276,310,657,14528,3,481,22,302,1926,331,221,393,204,258,778,2278
138,138,06,Hessen,06632,Hersfeld-Rotenburg,154,139,387,7251,3,293,22,114,1022,185,93,160,78,147,443,1063
139,139,06,Hessen,06633,Kassel,252,249,593,13176,4,458,25,208,1791,316,122,326,118,245,766,2289
140,140,06,Hessen,06634,Schwalm-Eder,227,218,506,10908,0,466,38,178,1550,356,109,285,91,236,670,1768
141,141,06,Hessen,06635,Waldeck-Frankenberg,191,304,501,10904,0,357,29,172,1523,304,391,405,107,181,639,1694
142,142,06,Hessen,06636,Werra-Meißner,107,145,316,6426,0,255,23,96,988,227,102,207,84,137,429,1018
143,143,07,Rheinland-Pfalz,07111,Stadt Koblenz,143,233,403,8207,3,301,1,114,1004,72,55,217,64,105,571,1213
144,144,07,Rheinland-Pfalz,07131,Ahrweiler,142,255,321,8567,0,295,9,100,1117,153,212,307,136,150,492,1498
145,145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),153,149,310,7803,0,244,15,111,1058,91,58,162,76,144,430,1371
146,146,07,Rheinland-Pfalz,07133,Bad Kreuznach,218,235,379,10079,0,419,9,140,1441,127,105,240,98,164,615,1641
147,147,07,Rheinland-Pfalz,07134,Birkenfeld,112,139,231,5816,0,219,12,69,887,45,59,153,46,90,303,944
148,148,07,Rheinland-Pfalz,07135,Cochem-Zell,79,178,172,4742,0,137,9,56,619,50,337,252,115,92,208,672
149,149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,268,330,577,13397,2,413,10,153,1736,152,162,343,132,222,666,2113
150,150,07,Rheinland-Pfalz,07138,Neuwied,223,246,490,11900,0,372,8,134,1563,132,98,266,75,199,686,2028
151,151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,127,199,271,6990,0,218,12,73,890,97,144,195,129,121,360,1196
152,152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,148,228,281,7965,0,251,10,109,1018,77,137,265,55,139,462,1198
153,153,07,Rheinland-Pfalz,07143,Westerwaldkreis,284,294,542,13934,2,365,34,169,1767,205,87,273,101,242,661,2313
154,154,07,Rheinland-Pfalz,07211,Stadt Trier,150,211,391,7113,4,346,2,116,977,76,62,239,44,99,535,959
155,155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,150,229,286,8272,0,253,14,111,1068,55,307,313,146,121,422,1185
156,156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,112,171,284,6277,0,304,10,91,771,51,127,217,202,108,280,1039
157,157,07,Rheinland-Pfalz,07233,Vulkaneifel,71,108,158,4068,0,159,9,50,529,41,96,126,134,83,200,638
158,158,07,Rheinland-Pfalz,07235,Trier-Saarburg,177,213,272,8282,0,374,9,124,1031,102,208,256,142,135,448,1339
159,159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),54,61,141,2394,2,71,0,41,369,22,9,70,21,44,195,337
160,160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,118,211,386,6178,3,229,1,99,892,48,30,214,42,110,420,1007
161,161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,62,94,184,3488,0,150,0,55,467,23,17,102,14,61,278,520
162,162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,170,217,417,7358,3,269,1,146,1030,48,19,215,52,116,588,1261
163,163,07,Rheinland-Pfalz,07315,Stadt Mainz,218,326,531,14792,4,800,0,146,1466,114,40,369,90,152,959,1861
164,164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,79,116,173,3959,2,146,1,60,526,19,39,131,26,59,274,625
165,165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,69,83,160,3023,0,91,0,38,466,14,9,86,14,56,198,499
166,166,07,Rheinland-Pfalz,07318,Stadt Speyer,83,101,207,3470,1,111,0,45,488,25,23,130,20,61,230,577
167,167,07,Rheinland-Pfalz,07319,Stadt Worms,90,147,246,5109,1,225,3,70,731,30,29,175,30,78,334,793
168,168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,47,56,129,2163,41,92,1,45,335,9,9,70,13,37,153,331
169,169,07,Rheinland-Pfalz,07331,Alzey-Worms,171,177,285,8134,1,290,3,131,1123,39,84,178,52,129,416,1226
170,170,07,Rheinland-Pfalz,07332,Bad Dürkheim,187,253,335,9000,1,308,10,134,1174,41,164,369,66,132,482,1442
171,171,07,Rheinland-Pfalz,07333,Donnersbergkreis,93,99,168,4257,0,156,11,77,493,20,43,123,24,80,258,752
172,172,07,Rheinland-Pfalz,07334,Germersheim,179,141,304,6851,1,258,7,112,990,11,39,184,38,120,397,1266
173,173,07,Rheinland-Pfalz,07335,Kaiserslautern,158,190,254,6077,0,198,7,99,839,31,51,199,35,116,363,1187
174,174,07,Rheinland-Pfalz,07336,Kusel,103,102,149,3759,0,155,8,71,495,12,39,114,18,87,214,728
175,175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,146,209,246,7837,0,273,5,85,1056,36,192,313,31,111,392,1167
176,176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,194,197,256,7726,0,246,6,109,1083,32,23,182,52,119,495,1396
177,177,07,Rheinland-Pfalz,07339,Mainz-Bingen,245,295,465,13394,2,506,6,183,1720,145,140,341,95,185,761,2200
178,178,07,Rheinland-Pfalz,07340,Südwestpfalz,155,163,150,5541,0,202,12,107,826,22,98,206,47,110,282,1006
179,179,08,Baden-Württemberg,08111,Stuttgart,621,887,1404,43565,11,2105,1,592,4426,324,182,1009,286,609,2572,6747
180,180,08,Baden-Württemberg,08115,Böblingen,421,449,1023,22720,11,667,19,361,2888,125,110,479,127,401,1232,4031
181,181,08,Baden-Württemberg,08116,Esslingen,552,588,1295,33700,5,882,20,504,4313,174,173,744,171,500,1874,6003
182,182,08,Baden-Württemberg,08117,Göppingen,310,308,720,15921,2,506,22,306,2253,71,113,449,87,280,919,2803
183,183,08,Baden-Württemberg,08118,Ludwigsburg,535,620,1193,30893,3,808,26,554,4044,190,138,600,186,455,1716,5562
184,184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,497,513,1016,27285,1,696,34,453,3621,152,138,604,149,473,1507,4692
