ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,fake
8337,0,0,1,8,2
8415,0,2,1,8,2
8416,0,2,1,8,2
8417,0,2,1,8,2
8421,0,2,2,8,1
8425,0,0,1,8,2
8426,0,0,1,8,2
8435,0,2,1,8,2
8436,0,2,1,8,2
8437,0,0,0,8,1
9161,0,0,2,9,1
9162,2,2,1,9,2
9163,2,2,1,9,2
9171,0,0,0,9,1
9172,0,0,0,9,1
9173,0,0,0,9,1
9174,0,2,1,9,2
9175,0,2,1,9,2
9176,0,0,0,9,1
9177,0,0,0,9,1
9178,0,2,1,9,2
9179,0,2,1,9,2
9180,0,0,0,9,1
9181,0,0,0,9,1
9182,0,0,0,9,1
9183,0,0,0,9,1
9184,2,2,1,9,2
9185,0,0,0,9,1
9186,0,0,0,9,1
9187,0,0,1,9,2
9188,0,2,1,9,2
9189,0,0,0,9,1
9190,0,0,1,9,2
9261,0,0,2,9,1
9262,0,0,2,9,1
9263,0,0,2,9,1
9271,0,0,0,9,1
9272,0,1,0,9,1
9273,0,0,0,9,1
9274,0,0,0,9,1
9275,0,0,0,9,1
9276,0,0,0,9,1
9277,0,0,0,9,1
9278,0,0,0,9,1
9279,0,0,0,9,1
9361,0,1,2,9,1
9362,2,2,2,9,1
9363,0,1,2,9,1
9371,0,1,0,9,1
9372,0,1,0,9,1
9373,0,0,0,9,1
9374,0,1,0,9,1
9375,0,0,0,9,1
9376,0,0,0,9,1
9377,0,1,0,9,1
9461,0,0,2,9,1
9462,0,0,2,9,1
9463,0,0,2,9,1
9464,0,0,2,9,1
9471,0,0,0,9,1
9472,0,0,0,9,1
9473,0,0,0,9,1
9474,0,0,0,9,1
9475,0,0,0,9,1
9476,0,0,0,9,1
9477,0,1,0,9,1
9478,0,0,0,9,1
9479,0,1,0,9,1
9561,0,0,2,9,1
9562,0,2,2,9,1
9563,0,2,2,9,1
9564,2,2,2,9,1
9565,0,2,2,9,1
9571,0,0,0,9,1
9572,0,2,1,9,2
9573,0,2,1,9,2
9574,0,2,1,9,2
9575,0,1,0,9,1
9576,0,0,0,9,1
9577,0,0,0,9,1
9661,0,2,2,9,1
9662,0,0,2,9,1
9663,0,2,2,9,1
9671,0,2,1,9,2
9672,0,1,0,9,1
9673,0,0,0,9,1
9674,0,1,0,9,1
9675,0,0,0,9,1
9676,0,0,1,9,2
9677,0,0,0,9,1
9678,0,0,0,9,1
9679,0,2,1,9,2
9761,2,2,2,9,1
9762,0,1,2,9,1
9763,0,0,2,9,1
9764,0,0,2,9,1
9771,0,0,0,9,1
9772,0,2,1,9,2
9773,0,0,0,9,1
9774,0,0,0,9,1
9775,0,2,1,9,2
9776,0,2,2,9,1
9777,0,0,0,9,1
9778,0,0,0,9,1
9779,0,0,0,9,1
9780,0,1,0,9,1
10041,2,2,1,10,2
10042,0,2,0,10,1
10043,0,2,0,10,1
10044,0,2,0,10,1
10045,0,2,0,10,1
10046,0,2,0,10,1
11000,1,2,1,11,2
12051,0,0,2,12,1
12052,0,0,0,12,1
12053,0,1,2,12,1
12054,0,1,2,12,1
12060,0,1,0,12,1
12061,0,1,0,12,1
12062,0,1,0,12,1
12063,0,1,0,12,1
12064,0,1,0,12,1
12065,0,1,0,12,1
12066,0,1,0,12,1
12067,0,1,0,12,1
12068,0,1,0,12,1
12069,0,1,0,12,1
12070,0,1,0,12,1
12071,0,1,0,12,1
12072,0,1,0,12,1
12073,0,1,0,12,1
13003,0,2,0,13,1
13004,0,1,2,13,1
13071,0,1,0,13,1
13072,0,1,0,13,1
13073,0,1,0,13,1
13074,0,0,0,13,1
13075,0,1,0,13,1
13076,0,1,0,13,1
14511,0,2,0,14,1
14521,0,1,0,14,1
14522,0,1,0,14,1
14523,0,1,0,14,1
14524,0,1,0,14,1
14612,2,2,2,14,1
14625,0,1,0,14,1
14626,0,1,0,14,1
14627,0,1,0,14,1
14628,0,1,0,14,1
14713,2,2,2,14,1
14729,0,2,0,14,1
14730,0,1,0,14,1
15001,0,1,2,15,1
15002,2,2,2,15,1
15003,2,1,2,15,1
15081,0,1,0,15,1
15082,0,0,0,15,1
15083,0,1,0,15,1
15084,0,0,0,15,1
15085,0,1,0,15,1
15086,0,1,0,15,1
15087,0,1,0,15,1
15088,0,1,0,15,1
15089,0,1,0,15,1
15090,0,1,0,15,1
15091,0,1,0,15,1
16051,2,1,2,16,1
16052,0,1,2,16,1
16053,0,2,2,16,1
16054,0,1,2,16,1
16055,0,2,2,16,1
16056,0,1,2,16,1
16061,0,1,0,16,1
16062,0,1,0,16,1
16063,0,1,0,16,1
16064,0,1,0,16,1
16065,0,1,0,16,1
16066,0,1,0,16,1
16067,0,1,0,16,1
16068,0,1,0,16,1
16069,0,1,0,16,1
16070,0,1,0,16,1
16071,0,2,0,16,1
16072,0,1,0,16,1
16073,0,1,0,16,1
16074,0,1,0,16,1
16075,0,1,0,16,1
16076,0,1,0,16,1
16077,0,0,0,16,1
