ags5,date,ground_truth,pred,error
1051,3/31/2019,6,6.6368074,0.636807442
1051,4/30/2019,5.5,6.0949516,0.59495163
1051,5/31/2019,5.2,5.8718467,0.671846676
1051,6/30/2019,5,5.9087124,0.908712387
1051,7/31/2019,5.2,5.416365,0.216365147
1051,8/31/2019,5.3,5.449865,0.149864864
1051,9/30/2019,5.1,5.319617,0.219616795
1051,10/31/2019,5.1,5.0315876,0.068412399
1051,11/30/2019,5.3,5.076084,0.223915863
1051,12/31/2019,5.6,5.343863,0.25613699
1053,1/31/2018,5.4,5.437581,0.037581062
1053,2/28/2018,5.4,5.452364,0.052363968
1053,3/31/2018,5.3,5.4039445,0.103944492
1053,4/30/2018,5.2,5.2605424,0.060542393
1053,5/31/2018,4.9,5.141858,0.241858101
1053,6/30/2018,4.8,5.2281036,0.428103638
1053,7/31/2018,5,5.120903,0.120903015
1053,8/31/2018,5.1,5.167105,0.067105198
1053,9/30/2018,4.8,5.141619,0.341619205
1053,10/31/2018,4.6,4.8859024,0.285902405
1053,11/30/2018,4.6,4.881491,0.281491184
1053,12/31/2018,4.5,4.9450207,0.445020676
1053,1/31/2019,4.9,4.8402643,0.05973568
1053,2/28/2019,5,4.9295774,0.070422649
1053,3/31/2019,4.8,4.961431,0.161431026
1053,4/30/2019,4.6,4.8100734,0.210073376
1053,5/31/2019,4.6,4.6450195,0.045019531
1053,6/30/2019,4.5,4.7244635,0.224463463
1053,7/31/2019,4.8,4.7172637,0.082736301
1053,8/31/2019,4.7,4.694703,0.005296898
1053,9/30/2019,4.6,4.6453657,0.045365715
1053,10/31/2019,4.5,4.4701915,0.029808521
1053,11/30/2019,4.6,4.383422,0.216578102
1053,12/31/2019,4.7,4.4661856,0.23381443
1054,1/31/2018,7.3,6.8783603,0.421639729
1054,2/28/2018,7.3,6.99066,0.309339809
1054,3/31/2018,6.5,6.607547,0.107546806
1054,4/30/2018,5.4,6.147661,0.747661209
1054,5/31/2018,4.8,5.7479053,0.947905254
1054,6/30/2018,4.4,5.7074547,1.307454681
1054,7/31/2018,4.4,5.2774796,0.877479649
1054,8/31/2018,4.5,5.2445784,0.744578362
1054,9/30/2018,4.3,5.1608996,0.860899639
1054,10/31/2018,4.3,4.6548834,0.354883385
1054,11/30/2018,4.9,5.015863,0.115862942
1054,12/31/2018,5.5,5.5186806,0.018680573
1054,1/31/2019,6.3,6.0647545,0.235245514
1054,2/28/2019,6.3,6.2292275,0.070772457
1054,3/31/2019,5.5,5.991141,0.491140842
1054,4/30/2019,4.5,5.349535,0.849534988
