ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2
09274,0,0,0,9
09275,0,0,0,9
09276,0,0,0,9
09277,0,0,0,9
09278,0,0,0,9
09279,0,0,0,9
09361,0,1,2,9
09362,2,2,2,9
09363,0,1,2,9
09371,0,1,0,9
09372,0,1,0,9
09373,0,0,0,9
09374,0,1,0,9
09375,0,0,0,9
09376,0,0,0,9
09377,0,1,0,9
09461,0,0,2,9
09462,0,0,2,9
09463,0,0,2,9
09464,0,0,2,9
09471,0,0,0,9
09472,0,0,0,9
09473,0,0,0,9
09474,0,0,0,9
09475,0,0,0,9
09476,0,0,0,9
09477,0,1,0,9
09478,0,0,0,9
09479,0,1,0,9
09561,0,0,2,9
09562,0,2,2,9
09563,0,2,2,9
09564,2,2,2,9
09565,0,2,2,9
09571,0,0,0,9
09572,0,2,1,9
09573,0,2,1,9
09574,0,2,1,9
09575,0,1,0,9
09576,0,0,0,9
09577,0,0,0,9
09661,0,2,2,9
09662,0,0,2,9
09663,0,2,2,9
09671,0,2,1,9
09672,0,1,0,9
09673,0,0,0,9
09674,0,1,0,9
09675,0,0,0,9
09676,0,0,1,9
09677,0,0,0,9
09678,0,0,0,9
09679,0,2,1,9
09761,2,2,2,9
09762,0,1,2,9
09763,0,0,2,9
09764,0,0,2,9
09771,0,0,0,9
09772,0,2,1,9
09773,0,0,0,9
09774,0,0,0,9
09775,0,2,1,9
09776,0,2,2,9
09777,0,0,0,9
09778,0,0,0,9
09779,0,0,0,9
09780,0,1,0,9
10041,2,2,1,10
10042,0,2,0,10
10043,0,2,0,10
10044,0,2,0,10
10045,0,2,0,10
10046,0,2,0,10
11000,1,2,1,11
12051,0,0,2,12
12052,0,0,0,12
12053,0,1,2,12
12054,0,1,2,12
12060,0,1,0,12
12061,0,1,0,12
12062,0,1,0,12
12063,0,1,0,12
12064,0,1,0,12
12065,0,1,0,12
12066,0,1,0,12
12067,0,1,0,12
12068,0,1,0,12
12069,0,1,0,12
12070,0,1,0,12
12071,0,1,0,12
12072,0,1,0,12
12073,0,1,0,12
13003,0,2,0,13
13004,0,1,2,13
13071,0,1,0,13
13072,0,1,0,13
13073,0,1,0,13
13074,0,0,0,13
13075,0,1,0,13
13076,0,1,0,13
14511,0,2,0,14
14521,0,1,0,14
14522,0,1,0,14
14523,0,1,0,14
14524,0,1,0,14
14612,2,2,2,14
14625,0,1,0,14
14626,0,1,0,14
14627,0,1,0,14
14628,0,1,0,14
14713,2,2,2,14
14729,0,2,0,14
14730,0,1,0,14
15001,0,1,2,15
15002,2,2,2,15
15003,2,1,2,15
15081,0,1,0,15
15082,0,0,0,15
15083,0,1,0,15
15084,0,0,0,15
15085,0,1,0,15
15086,0,1,0,15
15087,0,1,0,15
15088,0,1,0,15
15089,0,1,0,15
15090,0,1,0,15
15091,0,1,0,15
16051,2,1,2,16
16052,0,1,2,16
16053,0,2,2,16
16054,0,1,2,16
16055,0,2,2,16
16056,0,1,2,16
16061,0,1,0,16
16062,0,1,0,16
16063,0,1,0,16
16064,0,1,0,16
16065,0,1,0,16
16066,0,1,0,16
16067,0,1,0,16
16068,0,1,0,16
16069,0,1,0,16
16070,0,1,0,16
16071,0,2,0,16
16072,0,1,0,16
16073,0,1,0,16
16074,0,1,0,16
16075,0,1,0,16
16076,0,1,0,16
16077,0,0,0,16
