id,ags2,bundesland,ags5,kreis,kr_opnv_d,kr_opnv_b,kr_sm_b,kr_sm_d,kr_opnv_idx,kr_dist_bush,kr_dist_bhf,kr_dist_opnv,kr_dist_ustrab
292,9,Freistaat Bayern,9577,Weißenburg-Gunzenhausen,1623,63,52,1873,37,304,3007,282,-99
293,9,Freistaat Bayern,9661,Aschaffenburg,163,100,92,519,39,174,1343,172,-99
294,9,Freistaat Bayern,9662,Schweinfurt,153,100,96,371,39,184,1452,184,-99
295,9,Freistaat Bayern,9663,Würzburg,191,100,93,466,62,251,2212,235,1080
296,9,Freistaat Bayern,9671,Aschaffenburg,323,96,61,1176,37,365,2672,348,-99
297,9,Freistaat Bayern,9672,Bad Kissingen,1446,59,51,1681,31,750,3856,743,-99
298,9,Freistaat Bayern,9673,Rhön-Grabfeld,3255,36,54,1544,24,1048,4283,1047,-99
299,9,Freistaat Bayern,9674,Haßberge,1357,63,45,1946,32,559,3822,557,-99
300,9,Freistaat Bayern,9675,Kitzingen,1177,68,53,1600,34,411,3840,408,8950
301,9,Freistaat Bayern,9676,Miltenberg,488,92,55,1406,38,388,2291,317,-99
302,9,Freistaat Bayern,9677,Main-Spessart,784,82,52,1798,33,656,3780,653,-99
303,9,Freistaat Bayern,9678,Schweinfurt,1335,65,55,1647,31,647,4062,597,-99
304,9,Freistaat Bayern,9679,Würzburg,481,91,65,1153,40,484,3549,465,5572
305,9,Freistaat Bayern,9761,Augsburg,207,100,95,440,67,275,1756,241,811
306,9,Freistaat Bayern,9762,Kaufbeuren,217,99,96,424,36,387,2222,379,-99
307,9,Freistaat Bayern,9763,Kempten (Allgäu),156,99,93,459,38,250,1724,250,-99
308,9,Freistaat Bayern,9764,Memmingen,238,99,86,582,38,252,1924,248,-99
309,9,Freistaat Bayern,9771,Aichach-Friedberg,994,77,57,1646,38,614,3385,586,5650
310,9,Freistaat Bayern,9772,Augsburg,807,80,67,1096,40,516,2639,491,4658
311,9,Freistaat Bayern,9773,Dillingen a.d.Donau,1014,71,54,1611,27,1045,4099,1012,8901
312,9,Freistaat Bayern,9774,Günzburg,913,75,59,1367,40,652,2612,585,5883
313,9,Freistaat Bayern,9775,Neu-Ulm,334,96,72,1039,40,462,2297,435,4995
314,9,Freistaat Bayern,9776,Lindau (Bodensee),607,82,63,1056,36,461,3039,441,-99
315,9,Freistaat Bayern,9777,Ostallgäu,748,82,59,1418,33,907,3726,837,-99
316,9,Freistaat Bayern,9778,Unterallgäu,1252,68,58,1369,32,855,4129,805,-99
317,9,Freistaat Bayern,9779,Donau-Ries,1469,65,51,1765,33,788,3800,760,-99
318,9,Freistaat Bayern,9780,Oberallgäu,655,83,64,1192,36,667,3155,663,-99
319,10,Saarland,10041,Regionalverband Saarbrücken,208,100,76,734,52,260,1804,255,4258
320,10,Saarland,10042,Landkreis Merzig-Wadern,439,93,42,1733,30,269,3777,263,-99
321,10,Saarland,10043,Landkreis Neunkirchen,244,99,76,799,38,229,1762,226,8783
322,10,Saarland,10044,Landkreis Saarlouis,286,99,66,1083,37,284,3004,284,8371
323,10,Saarland,10045,Saarpfalz-Kreis,223,100,58,1177,38,231,2305,230,8663
324,10,Saarland,10046,Landkreis St. Wendel,311,98,49,1342,31,314,4452,302,-99
325,11,Berlin,11000,Berlin,211,100,98,334,69,313,1130,284,946
326,12,Brandenburg,12051,Brandenburg an der Havel,247,99,83,659,54,459,2199,439,2294
327,12,Brandenburg,12052,Cottbus,223,100,85,640,63,338,2352,313,1132
328,12,Brandenburg,12053,Frankfurt (Oder),218,99,88,611,62,283,2060,272,1864
329,12,Brandenburg,12054,Potsdam,229,100,89,540,65,351,2039,324,1583
330,12,Brandenburg,12060,Barnim,458,92,66,1262,42,405,2332,390,3112
331,12,Brandenburg,12061,Dahme-Spreewald,604,86,59,1658,42,470,2391,458,3571
332,12,Brandenburg,12062,Elbe-Elster,536,89,56,1792,37,468,2878,453,-99
333,12,Brandenburg,12063,Havelland,472,93,64,1506,38,481,2455,461,7678
334,12,Brandenburg,12064,Märkisch-Oderland,699,85,61,1611,54,569,2667,518,2073
335,12,Brandenburg,12065,Oberhavel,542,88,68,1265,50,497,2166,455,2977
336,12,Brandenburg,12066,Oberspreewald-Lausitz,571,89,69,1272,37,406,2688,392,-99
337,12,Brandenburg,12067,Oder-Spree,756,81,59,1740,39,509,2784,474,3033
338,12,Brandenburg,12068,Ostprignitz-Ruppin,1136,73,54,2604,36,365,3391,361,-99
339,12,Brandenburg,12069,Potsdam-Mittelmark,553,90,62,1599,42,554,2975,545,4668
340,12,Brandenburg,12070,Prignitz,961,76,59,2229,36,416,2960,410,-99
341,12,Brandenburg,12071,Spree-Neiße,1190,69,53,1900,37,406,3254,402,6757
342,12,Brandenburg,12072,Teltow-Fläming,663,86,62,1567,39,416,2295,411,3906
343,12,Brandenburg,12073,Uckermark,872,77,60,2034,34,437,3468,433,-99
344,13,Mecklenburg-Vorpommern,13003,"Rostock, Hansestadt",231,100,95,387,67,347,1437,274,1102
345,13,Mecklenburg-Vorpommern,13004,"Schwerin, Landeshauptstadt",217,100,92,450,66,376,1612,331,955
346,13,Mecklenburg-Vorpommern,13071,Mecklenburgische Seenplatte,1434,72,64,2002,31,665,3968,651,-99
347,13,Mecklenburg-Vorpommern,13072,Landkreis Rostock,1226,71,51,2173,37,821,2858,777,5496
348,13,Mecklenburg-Vorpommern,13073,Vorpommern-Rügen,967,77,68,1535,33,589,3246,558,-99
349,13,Mecklenburg-Vorpommern,13074,Nordwestmecklenburg,993,74,57,1786,35,694,3402,659,6982
350,13,Mecklenburg-Vorpommern,13075,Vorpommern-Greifswald,1238,73,67,1629,35,890,3008,824,-99
351,13,Mecklenburg-Vorpommern,13076,Ludwigslust-Parchim,1220,70,51,2504,31,1039,3580,983,5446
352,14,Sachsen,14511,Chemnitz,217,100,87,542,62,277,1358,254,2319
353,14,Sachsen,14521,Erzgebirgskreis,406,93,70,1004,38,488,2349,468,6623
354,14,Sachsen,14522,Mittelsachsen,500,86,59,1406,36,523,3097,499,8146
355,14,Sachsen,14523,Vogtlandkreis,576,87,67,1189,39,746,1963,654,3875
356,14,Sachsen,14524,Zwickau,372,93,71,876,43,421,2411,412,5355
357,14,Sachsen,14612,Dresden,209,100,93,439,68,305,1547,264,811
358,14,Sachsen,14625,Bautzen,395,93,60,1295,37,498,3014,491,5978
359,14,Sachsen,14626,Görlitz,525,88,65,1181,37,550,2634,532,2932
360,14,Sachsen,14627,Meißen,362,94,66,1277,41,430,2537,409,3383
361,14,Sachsen,14628,Sächsische Schweiz-Osterzgebirge,375,93,58,1305,42,407,2406,382,5404
362,14,Sachsen,14713,Leipzig,221,100,96,376,69,329,1040,264,762
363,14,Sachsen,14729,Leipzig,422,92,61,1349,38,440,2468,430,5490
364,14,Sachsen,14730,Nordsachsen,486,89,62,1361,37,585,2851,531,3780
365,15,Sachsen-Anhalt,15001,Dessau-Roßlau,229,100,87,607,56,364,1435,332,2409
366,15,Sachsen-Anhalt,15002,Halle (Saale),212,100,96,392,69,437,1304,265,713
367,15,Sachsen-Anhalt,15003,Magdeburg,242,99,95,426,66,404,1876,335,731
368,15,Sachsen-Anhalt,15081,Altmarkkreis Salzwedel,457,90,53,2335,31,1052,3840,899,-99
369,15,Sachsen-Anhalt,15082,Anhalt-Bitterfeld,649,84,71,1260,36,639,2834,598,8488
370,15,Sachsen-Anhalt,15083,Börde,695,88,57,1762,35,887,3343,857,6125
371,15,Sachsen-Anhalt,15084,Burgenlandkreis,593,82,64,1346,37,572,2955,544,5085
372,15,Sachsen-Anhalt,15085,Harz,334,97,72,1216,37,633,2605,611,4221
373,15,Sachsen-Anhalt,15086,Jerichower Land,540,89,60,1793,34,1112,3273,1055,6224
374,15,Sachsen-Anhalt,15087,Mansfeld-Südharz,523,90,62,1666,35,999,3105,853,9235
375,15,Sachsen-Anhalt,15088,Saalekreis,349,97,59,1282,45,680,2502,597,4417
376,15,Sachsen-Anhalt,15089,Salzlandkreis,554,89,72,1162,36,1088,2388,827,6880
377,15,Sachsen-Anhalt,15090,Stendal,887,79,61,2086,33,1093,3387,967,-99
378,15,Sachsen-Anhalt,15091,Wittenberg,274,99,58,1810,36,959,2432,855,8019
379,16,Thüringen,16051,Erfurt,242,99,89,555,64,358,2184,315,1397
380,16,Thüringen,16052,Gera,248,98,86,676,65,453,1819,325,1357
381,16,Thüringen,16053,Jena,245,100,92,465,67,346,1436,318,969
382,16,Thüringen,16054,Suhl,276,99,77,866,36,528,1819,486,-99
383,16,Thüringen,16055,Weimar,188,100,90,503,39,306,1198,284,-99
384,16,Thüringen,16056,Eisenach,264,99,85,601,38,342,1491,312,-99
385,16,Thüringen,16061,Eichsfeld,640,83,56,1707,33,694,3603,667,-99
386,16,Thüringen,16062,Nordhausen,461,90,68,1203,47,490,1990,434,3868
387,16,Thüringen,16063,Wartburgkreis,491,89,55,1566,27,1005,4101,958,8655
388,16,Thüringen,16064,Unstrut-Hainich-Kreis,513,91,65,1428,31,858,3530,855,-99
389,16,Thüringen,16065,Kyffhäuserkreis,591,87,64,1525,35,1043,3558,864,9652
390,16,Thüringen,16066,Schmalkalden-Meiningen,565,88,68,1265,36,689,2807,661,8095
391,16,Thüringen,16067,Gotha,350,96,69,1186,48,432,3350,402,3883
392,16,Thüringen,16068,Sömmerda,686,84,52,1862,36,521,2768,479,7440
393,16,Thüringen,16069,Hildburghausen,1090,73,47,1860,26,811,4938,793,-99
394,16,Thüringen,16070,Ilm-Kreis,496,89,68,1302,37,537,2571,507,8233
395,16,Thüringen,16071,Weimarer Land,896,76,48,1770,37,317,3153,308,8236
396,16,Thüringen,16072,Sonneberg,526,88,58,1375,38,337,1653,321,-99
397,16,Thüringen,16073,Saalfeld-Rudolstadt,556,86,62,1423,37,341,2492,322,-99
398,16,Thüringen,16074,Saale-Holzland-Kreis,646,82,54,1677,38,343,3419,340,6755
399,16,Thüringen,16075,Saale-Orla-Kreis,1128,69,54,1686,35,449,3172,444,-99
400,16,Thüringen,16076,Greiz,735,76,55,1654,38,608,2779,563,6854
401,16,Thüringen,16077,Altenburger Land,594,83,62,1458,35,584,3628,574,9456
