,2021-05-31_0,2021-05-31_1,2021-05-31_2,2021-02-28_0,2021-02-28_1,2021-02-28_2,9/30/2020_0,9/30/2020_1,9/30/2020_2
01001,9.104045287375673,8.927351180110966,8.817408733321658,9.615231399043696,9.589322964790275,9.761608459495104,9.38449974045317,9.592716914047182,9.844240589509386
01004,9.318700159225576,9.267051421830235,9.298818752024165,9.522312007534907,9.33546688297842,9.543307677858936,9.10845679419222,9.378502614770362,9.913471788311254
01051,6.221202535820329,6.058977748845178,5.870171544230512,6.927444354788751,6.734644940518591,6.510923092598168,5.931314077465203,6.539132938589843,6.8258348624561584
01053,5.544228235897125,5.49459058015298,5.537900485385126,5.79777117634005,5.764263107027923,5.878030004236591,5.708059781485249,5.928285892300581,6.208522774163149
01054,5.38419724502459,5.172881617599089,4.897772029230738,6.2620392549663535,5.741043380340763,5.340754684804372,4.836598994944384,5.8942668790392485,6.219099355476404
01055,5.44949494808856,5.306856039954143,5.063985661612039,6.321973134125162,5.90018493003002,5.435677527957932,5.036515920241431,6.015113500347458,6.328063150835439
01056,5.560201970753785,5.582938606526209,5.640336046679622,5.865294184458559,5.831784698087178,5.90531518300635,5.592640155296287,5.900021799876654,6.156957214020666
01057,4.459998832715967,4.385606620507453,4.369280742923594,5.13985362593758,5.076438753775893,5.071112689352696,4.930124883076786,5.235044270629752,5.5420254052104365
01058,4.497806231425587,4.46372117690169,4.472668174105308,4.842887408412573,4.709692214376309,4.735542568708897,4.651475968680974,4.846774486945542,5.20696853332808
01059,5.453484827536241,5.351265230343716,5.383687515358763,5.850321087256743,5.680318560896616,5.677364064479814,5.690576334659297,6.167027214380796,6.596508877119831
01060,5.050555159354499,5.036650011386491,5.090769848141179,5.256508422791557,5.231211488765953,5.335349110643494,5.219662985447058,5.483777815273782,5.7513782830776545
01061,6.188790431569159,6.12716801061269,6.1212117535452695,6.360764922740935,6.327019010186468,6.4400741158897015,6.082160583258832,6.357434250699183,6.868919521130582
01062,3.878732472711264,3.892101409492976,3.904687768161557,4.136242772655771,4.143033762798183,4.2280936994986,4.08671160857736,4.28624797946921,4.469948006935378
03102,9.727492955831073,9.76264495604021,9.667876342713736,10.148112531934776,10.18949110972394,10.400203250637237,10.73486747202418,11.24468883012776,11.609282633562737
03103,5.575186718530056,5.526667508151161,5.516252487739224,5.632380162363144,5.609487916917775,5.751999220606296,5.659865284245201,5.956217897594595,6.080629619757373
03151,4.6806338059147885,4.635624188193486,4.632190978545067,4.778334615640878,4.7033700490594645,4.72926557550057,4.971754273577761,5.174141232119487,5.33208815536092
03153,7.209540140392365,7.109748946350709,6.933355446104441,7.470231753815121,7.319111946053354,7.476387736666411,7.348500232116284,7.700263905183155,8.00449702973345
03154,6.499369187844551,6.446709735216321,6.369415460867238,6.773757090086654,6.705672106954966,6.835741520629459,6.61164504403138,6.825669734361553,7.092703238158794
03155,5.780196745324592,5.6328325564771085,5.553418489418255,5.9658908683880245,5.852396433456683,5.91973594574333,5.903515592254584,6.204132165251305,6.38488772591323
03157,5.481507649463337,5.364150889567549,5.355970718149877,5.696737447403491,5.6760577778523045,5.731956637966993,5.60045324728529,5.869894221285102,6.229659398218732
03158,4.922615053606747,4.930584932044562,4.928872449150861,5.35646681024599,5.300383227487965,5.375625975391321,5.5363816238271095,5.933620879673248,6.294763453053065
03159,6.073226338574718,5.997157872094021,6.013707364855663,6.325019760638158,6.331865741043882,6.470675366786598,6.691351653923024,6.953180178167726,7.1928342161789045
03251,4.58619348603461,4.563625073728523,4.610729339808888,4.770474515807903,4.6506011228491495,4.765136563192398,4.90902813525458,5.060435749527005,5.214949186296042
03252,7.146672362480368,7.046041718817374,6.926454348535485,7.2358797416975635,7.041613786596923,7.076999553905309,7.109609615631418,7.425793316146485,7.635359074266047
03254,6.65447774972437,6.598243583942807,6.646386087778192,6.715920130651969,6.6245967711413,6.765851310775987,7.034533410923789,7.223606440791992,7.483813384249194
03255,6.703008670617554,6.623820944589453,6.601589602692628,6.745292243549737,6.5844714771857165,6.57092847958925,6.757934368906268,6.994695287830094,7.142544949909832
03256,5.266525445200565,5.203527308193473,5.286271632742372,5.618889727665254,5.418329985210923,5.480730264305526,5.604263164413152,5.923723666985877,6.011419883136854
03257,5.71173295128329,5.774456799511045,5.8380340479502,6.090772268068763,5.934847106697184,6.002766779255791,6.120410006800104,6.4916186892708145,6.902945882021403
03351,6.403791766720839,6.322246956263536,6.3605882463158245,6.804323977500459,6.648989479893951,6.71079884942815,6.852893636863271,7.274193423839813,7.708274767945356
03352,6.158934186708844,6.149237737827972,6.099232441725028,6.371197364261264,6.252633155740141,6.207519842345546,6.150899927019044,6.51823785921169,6.7499667310778255
03353,4.629257891720086,4.625393405997396,4.644522696767533,4.851649194787104,4.789173406101217,4.8726995600816565,4.7106354250468865,4.877765888728125,5.0550617388917845
03354,7.565680156113163,7.534499214250223,7.543561704185193,8.036049912555493,7.771141263041878,7.636581188717161,8.146075293298932,8.432026730990623,8.674303735203148
03355,6.338208395997677,6.329831221610791,6.22995114593541,6.393605623249814,6.346298410619377,6.46080957363454,6.608668228532265,6.778065991199521,7.0048552101724395
03356,3.516797959788101,3.5627482487556965,3.579095274233822,3.828677758338338,3.806926133334111,3.8318302546258174,4.038649991649954,4.313988778219042,4.432063768523296
03357,3.9466286531402335,3.974744253863338,3.9896085090064175,4.281444646940476,4.194358604413521,4.227441514941376,4.114302847699162,4.354113399438533,4.59532553293409
03358,6.125601415039698,6.05770596048305,5.93688148101334,6.4354068103793,6.187590249579161,6.132826753443915,6.297426127080299,6.819111049669855,6.9179958218898605
03359,6.336738214972804,6.315272433744688,6.338712406526565,6.548912155725315,6.426231828743603,6.518145105293594,6.2654231013291115,6.379614996516735,6.538633640674846
03360,5.444631049030839,5.372312534799077,5.387649793031809,5.838661882573031,5.611763062957256,5.668074338598474,5.775183353955306,6.054712437759974,6.400832245755194
03361,3.806203956078748,3.753257400026909,3.743133436157815,3.96455989309409,3.909947928146769,3.998668786934859,4.458259132288601,4.621328536819292,4.848101621781933
03401,10.738067366722431,10.752745863588263,10.766013179738678,11.008570940887326,10.795694592704304,11.008807218644932,10.96839488952324,11.179971569005517,11.681359398821126
03402,8.818351175897671,8.775111384240024,8.686503504994484,9.105829031906234,9.02589699231937,9.274934076046714,9.458498500916761,9.807662747868132,9.881324830630035
03403,7.015092554322416,6.933742825257157,7.042094285462519,7.356951143306341,7.287403437591698,7.453828436276431,7.658779135792954,7.929155379362037,8.292070467405413
03404,7.462303393689222,7.345455889673276,7.331122777444016,7.517413248327188,7.532117689964033,7.728337307514342,8.04088791599375,8.309871974222643,8.643217368888191
03405,11.77593800845749,11.765924825364923,11.738422892844628,12.147010213461575,12.215279908528675,12.583135004481106,13.069857004133254,13.559761918812342,14.232428374827226
03451,4.221077186303844,4.219238678879772,4.195565864136501,4.757222471333359,4.343335651696115,4.222640638043199,4.2571453787446245,4.641297085217904,4.855052114359095
