ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,ags5_fix,fake
07335,0,2,0,7,07335,1
07336,0,0,0,7,07336,1
07337,0,2,0,7,07337,1
07338,0,2,1,7,07338,1
07339,0,2,1,7,07339,1
07340,0,0,0,7,07340,1
08111,2,2,1,8,08111,1
08115,2,2,1,8,08115,1
08116,2,2,1,8,08116,1
08117,0,2,1,8,08117,1
08118,2,2,1,8,08118,1
08119,2,2,1,8,08119,1
08121,0,2,2,8,08121,1
08125,0,2,1,8,08125,1
08126,0,0,0,8,08126,1
08127,0,0,0,8,08127,1
08128,0,0,0,8,08128,1
08135,0,2,1,8,08135,1
08136,0,2,1,8,08136,1
08211,0,2,1,8,08211,1
08212,2,2,2,8,08212,1
08215,2,2,1,8,08215,1
08216,0,2,1,8,08216,1
08221,2,2,2,8,08221,1
08222,2,2,2,8,08222,1
08225,0,0,0,8,08225,1
08226,2,2,1,8,08226,1
08231,0,2,1,8,08231,1
08235,0,2,1,8,08235,1
08236,0,2,1,8,08236,1
08237,0,0,0,8,08237,1
08311,2,2,2,8,08311,1
08315,0,2,1,8,08315,1
08316,0,2,1,8,08316,1
08317,2,2,1,8,08317,1
08325,0,2,1,8,08325,1
08326,0,2,1,8,08326,1
08327,0,2,1,8,08327,1
08335,0,2,1,8,08335,1
08336,0,2,1,8,08336,1
08337,0,0,1,8,08337,1
08415,0,2,1,8,08415,1
08416,0,2,1,8,08416,1
08417,0,2,1,8,08417,1
08421,0,2,2,8,08421,1
08425,0,0,1,8,08425,1
08426,0,0,1,8,08426,1
08435,0,2,1,8,08435,1
08436,0,2,1,8,08436,1
08437,0,0,0,8,08437,1
09161,0,0,2,9,09161,1
09162,2,2,1,9,09162,1
09163,2,2,1,9,09163,1
09171,0,0,0,9,09171,1
09172,0,0,0,9,09172,1
09173,0,0,0,9,09173,1
09174,0,2,1,9,09174,1
09175,0,2,1,9,09175,1
09176,0,0,0,9,09176,1
09177,0,0,0,9,09177,1
09178,0,2,1,9,09178,1
09179,0,2,1,9,09179,1
09180,0,0,0,9,09180,1
09181,0,0,0,9,09181,1
09182,0,0,0,9,09182,1
09183,0,0,0,9,09183,1
09184,2,2,1,9,09184,1
09185,0,0,0,9,09185,1
09186,0,0,0,9,09186,1
09187,0,0,1,9,09187,1
09188,0,2,1,9,09188,1
09189,0,0,0,9,09189,1
09190,0,0,1,9,09190,1
09261,0,0,2,9,09261,1
09262,0,0,2,9,09262,1
09263,0,0,2,9,09263,1
09271,0,0,0,9,09271,1
09272,0,1,0,9,09272,1
09273,0,0,0,9,09273,1
09274,0,0,0,9,09274,1
09275,0,0,0,9,09275,1
09276,0,0,0,9,09276,1
09277,0,0,0,9,09277,1
09278,0,0,0,9,09278,1
09279,0,0,0,9,09279,1
09361,0,1,2,9,09361,1
09362,2,2,2,9,09362,1
09363,0,1,2,9,09363,1
09371,0,1,0,9,09371,1
09372,0,1,0,9,09372,1
09373,0,0,0,9,09373,1
09374,0,1,0,9,09374,1
09375,0,0,0,9,09375,1
09376,0,0,0,9,09376,1
09377,0,1,0,9,09377,1
09461,0,0,2,9,09461,1
09462,0,0,2,9,09462,1
09463,0,0,2,9,09463,1
09464,0,0,2,9,09464,1
09471,0,0,0,9,09471,1
09472,0,0,0,9,09472,1
09473,0,0,0,9,09473,1
09474,0,0,0,9,09474,1
09475,0,0,0,9,09475,1
09476,0,0,0,9,09476,1
09477,0,1,0,9,09477,1
09478,0,0,0,9,09478,1
09479,0,1,0,9,09479,1
09561,0,0,2,9,09561,1
09562,0,2,2,9,09562,1
09563,0,2,2,9,09563,1
09564,2,2,2,9,09564,1
09565,0,2,2,9,09565,1
09571,0,0,0,9,09571,1
09572,0,2,1,9,09572,1
09573,0,2,1,9,09573,1
09574,0,2,1,9,09574,1
09575,0,1,0,9,09575,1
09576,0,0,0,9,09576,1
09577,0,0,0,9,09577,1
09661,0,2,2,9,09661,1
09662,0,0,2,9,09662,1
09663,0,2,2,9,09663,1
09671,0,2,1,9,09671,1
09672,0,1,0,9,09672,1
09673,0,0,0,9,09673,1
09674,0,1,0,9,09674,1
09675,0,0,0,9,09675,1
09676,0,0,1,9,09676,1
09677,0,0,0,9,09677,1
09678,0,0,0,9,09678,1
09679,0,2,1,9,09679,1
09761,2,2,2,9,09761,1
09762,0,1,2,9,09762,1
09763,0,0,2,9,09763,1
09764,0,0,2,9,09764,1
09771,0,0,0,9,09771,1
09772,0,2,1,9,09772,1
09773,0,0,0,9,09773,1
09774,0,0,0,9,09774,1
09775,0,2,1,9,09775,1
09776,0,2,2,9,09776,1
09777,0,0,0,9,09777,1
09778,0,0,0,9,09778,1
09779,0,0,0,9,09779,1
09780,0,1,0,9,09780,1
10041,2,2,1,10,10041,1
10042,0,2,0,10,10042,1
10043,0,2,0,10,10043,1
10044,0,2,0,10,10044,1
10045,0,2,0,10,10045,1
10046,0,2,0,10,10046,1
11000,1,2,1,11,11000,1
12051,0,0,2,12,12051,1
12052,0,0,0,12,12052,1
12053,0,1,2,12,12053,1
12054,0,1,2,12,12054,1
12060,0,1,0,12,12060,1
