ags2,bundesland,ags5,kreis
6,Hessen,6633,Kassel
6,Hessen,6634,Schwalm-Eder
6,Hessen,6635,Waldeck-Frankenberg
6,Hessen,6636,Werra-Meißner
7,Rheinland-Pfalz,7111,Stadt Koblenz
7,Rheinland-Pfalz,7131,Ahrweiler
7,Rheinland-Pfalz,7132,Altenkirchen (Ww)
7,Rheinland-Pfalz,7133,Bad Kreuznach
7,Rheinland-Pfalz,7134,Birkenfeld
7,Rheinland-Pfalz,7135,Cochem-Zell
7,Rheinland-Pfalz,7137,Mayen-Koblenz
7,Rheinland-Pfalz,7138,Neuwied
7,Rheinland-Pfalz,7140,Rhein-Hunsrück-Kreis
7,Rheinland-Pfalz,7141,Rhein-Lahn-Kreis
7,Rheinland-Pfalz,7143,Westerwaldkreis
7,Rheinland-Pfalz,7211,Stadt Trier
7,Rheinland-Pfalz,7231,Bernkastel-Wittlich
7,Rheinland-Pfalz,7232,Eifelkreis Bitburg-Prüm
7,Rheinland-Pfalz,7233,Vulkaneifel
7,Rheinland-Pfalz,7235,Trier-Saarburg
7,Rheinland-Pfalz,7311,Stadt Frankenthal (Pfalz)
7,Rheinland-Pfalz,7312,Stadt Kaiserslautern
7,Rheinland-Pfalz,7313,Stadt Landau in der Pfalz
7,Rheinland-Pfalz,7314,Stadt Ludwigshafen a. Rh.
7,Rheinland-Pfalz,7315,Stadt Mainz
7,Rheinland-Pfalz,7316,Stadt Neustadt a.d. W.
7,Rheinland-Pfalz,7317,Stadt Pirmasens
7,Rheinland-Pfalz,7318,Stadt Speyer
7,Rheinland-Pfalz,7319,Stadt Worms
7,Rheinland-Pfalz,7320,Stadt Zweibrücken
7,Rheinland-Pfalz,7331,Alzey-Worms
7,Rheinland-Pfalz,7332,Bad Dürkheim
7,Rheinland-Pfalz,7333,Donnersbergkreis
7,Rheinland-Pfalz,7334,Germersheim
7,Rheinland-Pfalz,7335,Kaiserslautern
7,Rheinland-Pfalz,7336,Kusel
7,Rheinland-Pfalz,7337,Südliche Weinstraße
7,Rheinland-Pfalz,7338,Rhein-Pfalz-Kreis
7,Rheinland-Pfalz,7339,Mainz-Bingen
7,Rheinland-Pfalz,7340,Südwestpfalz
8,Baden-Württemberg,8111,Stuttgart
8,Baden-Württemberg,8115,Böblingen
8,Baden-Württemberg,8116,Esslingen
8,Baden-Württemberg,8117,Göppingen
8,Baden-Württemberg,8118,Ludwigsburg
8,Baden-Württemberg,8119,Rems-Murr-Kreis
8,Baden-Württemberg,8121,"Heilbronn, Stadt"
8,Baden-Württemberg,8125,"Heilbronn, Kreis"
8,Baden-Württemberg,8126,Hohenlohekreis
8,Baden-Württemberg,8127,Schwäbisch Hall
8,Baden-Württemberg,8128,Main-Tauber-Kreis
8,Baden-Württemberg,8135,Heidenheim
8,Baden-Württemberg,8136,Ostalbkreis
8,Baden-Württemberg,8211,Baden-Baden
8,Baden-Württemberg,8212,"Karlsruhe, Stadt"
8,Baden-Württemberg,8215,"Karlsruhe, Kreis"
8,Baden-Württemberg,8216,Rastatt
8,Baden-Württemberg,8221,Heidelberg
8,Baden-Württemberg,8222,Mannheim
8,Baden-Württemberg,8225,Neckar-Odenwald-Kreis
8,Baden-Württemberg,8226,Rhein-Neckar-Kreis
8,Baden-Württemberg,8231,Pforzheim
8,Baden-Württemberg,8235,Calw
8,Baden-Württemberg,8236,Enzkreis
8,Baden-Württemberg,8237,Freudenstadt
8,Baden-Württemberg,8311,Freiburg im Breisgau
8,Baden-Württemberg,8315,Breisgau-Hochschwarzwald
8,Baden-Württemberg,8316,Emmendingen
8,Baden-Württemberg,8317,Ortenaukreis
8,Baden-Württemberg,8325,Rottweil
8,Baden-Württemberg,8326,Schwarzwald-Baar-Kreis
8,Baden-Württemberg,8327,Tuttlingen
8,Baden-Württemberg,8335,Konstanz
8,Baden-Württemberg,8336,Lörrach
8,Baden-Württemberg,8337,Waldshut
8,Baden-Württemberg,8415,Reutlingen
8,Baden-Württemberg,8416,Tübingen
8,Baden-Württemberg,8417,Zollernalbkreis
8,Baden-Württemberg,8421,Ulm
8,Baden-Württemberg,8425,Alb-Donau-Kreis
8,Baden-Württemberg,8426,Biberach
8,Baden-Württemberg,8435,Bodenseekreis
8,Baden-Württemberg,8436,Ravensburg
8,Baden-Württemberg,8437,Sigmaringen
9,Freistaat Bayern,9161,Ingolstadt
9,Freistaat Bayern,9162,"München, Landeshauptstadt"
9,Freistaat Bayern,9163,"Rosenheim, Stadt"
9,Freistaat Bayern,9171,Altötting
9,Freistaat Bayern,9172,Berchtesgadener Land
9,Freistaat Bayern,9173,Bad Tölz-Wolfratshausen
9,Freistaat Bayern,9174,Dachau
9,Freistaat Bayern,9175,Ebersberg
9,Freistaat Bayern,9176,Eichstätt
9,Freistaat Bayern,9177,Erding
9,Freistaat Bayern,9178,Freising
9,Freistaat Bayern,9179,Fürstenfeldbruck
9,Freistaat Bayern,9180,Garmisch-Partenkirchen
9,Freistaat Bayern,9181,Landsberg am Lech
9,Freistaat Bayern,9182,Miesbach
