ags5,date,ground_truth,pred,error,mape
03355,2021-04-30,6.3,6.460809573634542,0.16080957363454207,0.025525329148340013
03356,2021-02-28,3.8,3.828677758338339,0.0286777583383393,0.00754677851008929
03356,2021-03-31,3.6,3.806926133334112,0.20692613333411192,0.05747948148169775
03356,2021-04-30,3.5,3.83183025462582,0.33183025462582005,0.09480864417880573
03357,2021-02-28,4.2,4.281444646940477,0.0814446469404766,0.01939158260487538
03357,2021-03-31,4.1,4.194358604413522,0.0943586044135225,0.023014293759395735
03357,2021-04-30,3.9,4.227441514941378,0.3274415149413783,0.08395936280548162
03358,2021-02-28,6.5,6.435406810379301,0.06459318962069904,0.009937413787799852
03358,2021-03-31,6.4,6.187590249579163,0.21240975042083754,0.033189023503255866
03358,2021-04-30,6.2,6.132826753443918,0.06717324655608259,0.010834394605819772
03359,2021-02-28,6.6,6.548912155725315,0.05108784427468471,0.00774058246586132
03359,2021-03-31,6.4,6.426231828743604,0.026231828743603636,0.004098723241188068
03359,2021-04-30,6.3,6.518145105293596,0.21814510529359588,0.03462620718945966
03360,2021-02-28,5.7,5.838661882573032,0.13866188257303147,0.024326646065444116
03360,2021-03-31,5.6,5.611763062957258,0.011763062957258263,0.0021005469566532614
03360,2021-04-30,5.4,5.668074338598478,0.2680743385984776,0.04964339603675511
03361,2021-02-28,4.0,3.96455989309409,0.03544010690590982,0.008860026726477455
03361,2021-03-31,3.8,3.90994792814677,0.10994792814677012,0.028933665301781614
03361,2021-04-30,3.8,3.9986687869348607,0.1986687869348609,0.05228125971970024
03401,2021-02-28,11.1,11.008570940887326,0.09142905911267363,0.00823685217231294
03401,2021-03-31,10.9,10.795694592704306,0.10430540729569415,0.009569303421623316
03401,2021-04-30,10.5,11.008807218644936,0.5088072186449359,0.04845783034713676
03402,2021-02-28,9.0,9.105829031906236,0.10582903190623583,0.011758781322915092
03402,2021-03-31,8.8,9.025896992319373,0.2258969923193721,0.025670112763565008
03402,2021-04-30,8.8,9.27493407604672,0.47493407604671845,0.05396978136894527
03403,2021-02-28,7.2,7.356951143306342,0.1569511433063422,0.021798769903658637
03403,2021-03-31,7.1,7.2874034375917,0.18740343759170042,0.026394850365028227
03403,2021-04-30,7.0,7.453828436276435,0.4538284362764351,0.06483263375377644
03404,2021-02-28,7.6,7.517413248327188,0.08258675167281204,0.010866677851685795
03404,2021-03-31,7.4,7.532117689964034,0.1321176899640335,0.017853741887031555
03404,2021-04-30,7.5,7.728337307514343,0.22833730751434267,0.03044497433524569
03405,2021-02-28,12.0,12.147010213461575,0.1470102134615754,0.012250851121797949
03405,2021-03-31,11.7,12.215279908528675,0.5152799085286759,0.044041017822963754
03405,2021-04-30,11.6,12.583135004481107,0.9831350044811078,0.08475301762768171
03451,2021-02-28,4.7,4.75722247133336,0.057222471333360225,0.01217499390071494
03451,2021-03-31,4.3,4.343335651696116,0.04333565169611653,0.010078058533980588
03451,2021-04-30,4.2,4.2226406380432,0.0226406380431996,0.0053906281055237145
03452,2021-02-28,7.8,7.951944934534891,0.15194493453489155,0.019480119812165585
03452,2021-03-31,7.4,7.44234393215957,0.042343932159569775,0.005722152994536456
03452,2021-04-30,7.0,7.190515070203684,0.1905150702036842,0.027216438600526312
03453,2021-02-28,5.0,4.860602633456854,0.13939736654314583,0.027879473308629166
03453,2021-03-31,4.8,4.5991925311872,0.20080746881279943,0.04183488933599988
03453,2021-04-30,4.7,4.571474393262874,0.1285256067371261,0.027345873773856614
03454,2021-02-28,3.3,3.3927460037669417,0.09274600376694186,0.02810484962634602
03454,2021-03-31,3.1,3.2327278060368583,0.1327278060368582,0.04281542130221232
03454,2021-04-30,3.0,3.314171157005365,0.31417115700536513,0.10472371900178838
03455,2021-02-28,5.2,5.165334119315807,0.03466588068419352,0.006666515516191061
03455,2021-03-31,4.9,4.92532879348499,0.02532879348498973,0.005169141527548924
03455,2021-04-30,4.7,4.815976984625004,0.11597698462500361,0.024675954175532682
